,slope,bottomwidth,bottomlevel,maximumflowwidth,roughnesstype,roughnessvalue
OAF-O-00996,1.0,5.5,-4.13,10.43,2,0.03
OAF-O-00069,1.5,2.3000000000000003,-2.33,11.95,2,0.03
OAF-O-00002,1.5,0.6,-0.52,7.57,2,0.03
OAF-O-00797,1.5,1.5,-2.09,9.0,2,0.03
OAF-O-00087,1.5,0.7,-2.79,7.0,2,0.03
OAF-O-00815,1.5,0.7,-3.52,7.0,2,0.03
OAF-O-00954,1.5,0.9,-3.47,9.0,2,0.03
OAF-O-00955,1.5,0.3,-2.78333333333333,7.0,2,0.03
OAF-O-00956,1.5,0.3,-2.78333333333333,7.0,2,0.03
OAF-O-00957,1.5,0.6,-3.09,8.3,2,0.03
OAF-O-00959,1.5,0.7,-3.3000000000000003,3.0,2,0.03
OAF-O-02391,1.5,0.7,-1.6500000000000001,7.96,2,0.03
OAF-O-01042,1.5,0.7,-2.21,7.999999999999999,2,0.03
OAF-O-01043,1.5,0.7,-3.59,7.59,2,0.03
OAF-O-00834,1.5,1.0,-2.15,9.16,2,0.03
OAF-O-01030,1.5,0.7,-2.85,11.78,2,0.03
OAF-O-01108,1.5,0.5,-3.67,7.0,2,0.03
OAF-O-00219,1.5,0.6,-1.87,9.530000000000001,2,0.03
OAF-O-02379,1.5,0.9,-1.54,15.0,2,0.03
OAF-O-00997,1.5,1.6,-4.199999999999999,11.33,2,0.03
OAF-O-00058,1.5,0.9,-1.54,3.0,2,0.03
OAF-O-02396,1.5,0.7,-2.58,7.66,2,0.03
OAF-O-00995,1.5,1.5,-4.26,12.999999999999998,2,0.03
OAF-O-00162,1.5,2.2,-4.41,3.0,2,0.03
OAF-O-00159,1.25,2.6,-4.14,8.379999999999999,2,0.03
OAF-O-00160,1.0,3.8,-4.4,8.58,2,0.03
OAF-O-00950,1.5,1.0,-3.37,10.879999999999999,2,0.03
OAF-O-00161,1.25,3.0999999999999996,-4.49,11.08,2,0.03
OAF-O-00155,1.25,2.8,-4.14,10.0,2,0.03
OAF-O-00894,2.0,0.5,-1.89,10.3,2,0.03
OAF-O-00895,2.0,0.5,-2.03,11.530000000000001,2,0.03
OAF-O-00896,1.5,0.8,-2.41,7.95,2,0.03
OAF-O-02485,1.5,1.0,-2.09,8.469999999999999,2,0.03
OAF-O-00900,1.5,5.5,-5.43,19.0,2,0.03
OAF-O-00901,1.5,0.7,-5.49,8.96,2,0.03
OAF-O-00897,1.5,0.7,-3.11,8.51,2,0.03
OAF-O-00898,1.25,1.1,-2.52,7.36,2,0.03
OAF-O-00899,1.5,0.7,-0.69,6.98,2,0.03
OAF-O-00902,1.5,0.7,-1.34,8.98,2,0.03
OAF-O-01054,1.5,0.5,-4.7,12.5,2,0.03
OAF-O-00779,1.25,3.0999999999999996,-4.38,8.73,2,0.03
OAF-O-00780,1.25,3.9000000000000004,-4.55,8.93,2,0.03
OAF-O-00079,1.5,0.9,-2.08,7.999999999999999,2,0.03
OAF-O-00781,1.5,3.5000000000000004,-4.6000000000000005,9.71,2,0.03
OAF-O-00960,1.5,0.7,-3.3000000000000003,10.23,2,0.03
OAF-O-00962,1.5,0.7,-2.87,7.999999999999999,2,0.03
OAF-O-02389,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-02390,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-02380,1.5,0.5,-2.95,12.5,2,0.03
OAF-O-02381,1.5,0.5,-1.54,3.0,2,0.03
OAF-O-02385,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-01041,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-00157,1.5,0.5,-3.84,7.0,2,0.03
OAF-O-00144,1.5,1.6,-4.59,10.6,2,0.03
OAF-O-00145,2.0,6.5,-5.11,21.0,2,0.03
OAF-O-00149,1.5,0.9,-3.38,8.64,2,0.03
OAF-O-00151,1.5,1.7,-4.59,11.0,2,0.03
OAF-O-00152,1.5,1.3,-4.36,8.84,2,0.03
OAF-O-00153,1.5,1.5,-4.199999999999999,11.48,2,0.03
OAF-O-00156,1.5,0.5,-3.83,7.0,2,0.03
OAF-O-02368,1.5,0.5,-4.03,8.690000000000001,2,0.03
OAF-O-02369,1.5,0.5,-4.16,3.0,2,0.03
OAF-O-00142,2.0,6.5,-5.67,20.0,2,0.03
OAF-O-02392,1.5,0.7,-1.6500000000000001,3.0,2,0.03
OAF-O-00791,1.5,1.0,-1.8,9.0,2,0.03
OAF-O-00792,1.5,1.2,-1.64,8.41,2,0.03
OAF-O-00075,1.5,0.7,-1.6500000000000001,7.96,2,0.03
OAF-O-00093,1.5,2.0999999999999996,-3.97,11.27,2,0.03
OAF-O-00048,1.5,0.6,-1.88,8.54,2,0.03
OAF-O-00053,1.5,0.9,-1.88,10.0,2,0.03
OAF-O-00098,1.5,0.6,-2.85,9.58,2,0.03
OAF-O-00099,1.5,4.199999999999999,-3.89,15.0,2,0.03
OAF-O-00101,1.5,0.7,-2.19,7.92,2,0.03
OAF-O-00054,1.5,0.9,-1.99,11.23,2,0.03
OAF-O-00055,1.5,2.0,-1.98,10.0,2,0.03
OAF-O-00061,1.5,0.7,-1.93,8.49,2,0.03
OAF-O-00062,1.5,1.3,-1.97,10.41,2,0.03
OAF-O-00106,1.5,0.7,-3.73,7.58,2,0.03
OAF-O-00107,1.5,1.5,-3.99,9.219999999999999,2,0.03
OAF-O-00109,1.5,4.999999999999999,-4.55,16.0,2,0.03
OAF-O-00068,1.5,2.0999999999999996,-2.21,11.26,2,0.03
OAF-O-00070,1.5,0.7,-1.42,7.14,2,0.03
OAF-O-00158,1.5,0.6,-4.14,10.64,2,0.03
OAF-O-00163,1.5,2.2,-4.41,16.0,2,0.03
OAF-O-00164,1.5,2.2,-4.36,11.0,2,0.03
OAF-O-00166,1.5,2.4999999999999996,-5.11,12.87,2,0.03
OAF-O-00056,1.5,0.6,-1.54,7.0,2,0.03
OAF-O-00059,1.5,0.7,-1.53,9.96,2,0.03
OAF-O-00063,1.5,2.0999999999999996,-1.86,10.5,2,0.03
OAF-O-02478,2.0,6.5,-5.800000000000001,24.5,2,0.03
OAF-O-02479,2.0,6.5,-5.800000000000001,24.5,2,0.03
OAF-O-00064,1.5,1.0,-1.63,7.74,2,0.03
OAF-O-00065,1.5,1.0,-2.09,8.469999999999999,2,0.03
OAF-O-00066,1.5,2.0999999999999996,-2.19,11.13,2,0.03
OAF-O-00071,1.5,2.4999999999999996,-2.14,11.12,2,0.03
OAF-O-00074,1.5,1.5,-1.6500000000000001,8.940000000000001,2,0.03
OAF-O-00168,2.0,6.5,-5.79,21.0,2,0.03
OAF-O-02477,2.0,6.5,-5.800000000000001,4.0,2,0.03
OAF-O-00135,2.0,5.5,-5.36,20.0,2,0.03
OAF-O-00136,2.0,6.5,-5.52,20.0,2,0.03
OAF-O-00137,1.5,0.6,-3.94,7.52,2,0.03
OAF-O-00138,1.5,0.6,-3.84,7.84,2,0.03
OAF-O-00139,1.5,1.2,-4.27,9.190000000000001,2,0.03
OAF-O-00140,1.5,1.2,-4.27,8.98,2,0.03
OAF-O-00141,1.5,1.4,-5.52,9.280000000000001,2,0.03
OAF-O-00146,1.5,0.7,-3.37,9.52,2,0.03
OAF-O-00147,1.5,0.7,-3.16,10.04,2,0.03
OAF-O-00127,1.5,3.0,-4.21,13.2,2,0.03
OAF-O-00128,1.5,3.0,-4.94,7.0,2,0.03
OAF-O-00130,1.5,0.6,-3.48,8.14,2,0.03
OAF-O-00134,1.5,0.7,-3.34,8.559999999999999,2,0.03
OAF-O-01222,1.5,0.8,-3.22,3.0,2,0.03
OAF-O-00132,1.5,0.9,-5.43,10.14,2,0.03
OAF-O-00133,2.0,5.5,-5.49,20.0,2,0.03
OAF-O-00113,1.5,1.0,-1.97,9.0,2,0.03
OAF-O-00114,1.5,1.1,-2.59,9.85,2,0.03
OAF-O-00115,1.5,0.7,-3.45,8.26,2,0.03
OAF-O-00117,1.5,0.8,-3.22,8.51,2,0.03
OAF-O-00094,1.5,4.0,-4.67,17.2,2,0.03
OAF-O-02370,1.5,0.5,-4.16,3.0,2,0.03
OAF-O-01151,1.5,1.0,-3.37,3.0,2,0.03
OAF-O-00782,1.5,1.5,-4.84,14.4,2,0.03
OAF-O-00095,1.5,0.6,-2.75,9.280000000000001,2,0.03
OAF-O-00096,1.5,4.0,-4.0,16.4,2,0.03
OAF-O-02480,2.0,6.5,-5.800000000000001,24.5,2,0.03
OAF-O-02393,1.5,0.5,-2.0,3.0,2,0.03
OAF-O-00076,1.5,1.5,-2.09,9.95,2,0.03
OAF-O-00077,1.5,2.4999999999999996,-2.38,12.200000000000001,2,0.03
OAF-O-02383,1.5,1.0,-2.03,3.0,2,0.03
OAF-O-00893,1.5,2.4999999999999996,-2.4,10.809999999999999,2,0.03
OAF-O-01090,1.5,1.0,-2.03,12.999999999999998,2,0.03
OAF-O-02395,1.5,0.7,-2.68,3.0,2,0.03
OAF-O-00121,1.5,1.9,-4.03,12.52,2,0.03
OAF-O-00122,1.5,3.0,-3.75,12.48,2,0.03
OAF-O-00123,1.5,0.7,-2.76,8.33,2,0.03
OAF-O-00124,1.5,0.7,-3.09,7.55,2,0.03
OAF-O-00119,1.5,1.2,-3.52,8.9,2,0.03
OAF-O-00120,1.5,0.8,-3.34,8.39,2,0.03
OAF-O-00125,1.5,3.0,-3.78,12.0,2,0.03
OAF-O-00126,1.5,3.0,-3.89,12.84,2,0.03
OAF-O-00080,1.5,0.6,-0.91,7.57,2,0.03
OAF-O-00131,1.5,0.7,-3.48,9.36,2,0.03
OAF-O-00102,1.5,0.7,-2.26,8.41,2,0.03
OAF-O-00103,1.5,1.1,-3.74,8.43,2,0.03
OAF-O-00104,1.5,0.7,-2.43,7.51,2,0.03
OAF-O-00110,1.5,4.999999999999999,-4.92,17.0,2,0.03
OAF-O-00111,1.5,4.999999999999999,-4.72,18.0,2,0.03
OAF-O-00112,1.5,4.999999999999999,-4.94,17.0,2,0.03
OAF-O-00118,1.5,1.2,-3.61,10.2,2,0.03
OAF-O-00088,1.5,0.7,-2.94,9.29,2,0.03
OAF-O-00089,1.5,0.7,-3.89,8.64,2,0.03
OAF-O-00090,1.5,0.7,-2.94,9.9,2,0.03
OAF-O-00081,1.5,0.9,-2.81,10.629999999999999,2,0.03
OAF-O-02415,1.5,1.5,-4.42,3.0,2,0.03
OAF-O-00143,1.5,1.5,-4.42,11.16,2,0.03
OAF-O-00083,1.5,0.9,-2.57,8.42,2,0.03
OAF-O-00078,1.5,2.3000000000000003,-3.77,11.92,2,0.03
OAF-O-00085,1.5,2.8,-3.75,11.7,2,0.03
OAF-O-00084,2.0,0.5,-3.15,4.0,2,0.03
OAF-O-00217,1.5,0.5,-2.57,3.0,2,0.03
OAF-O-00215,1.5,0.5,-2.57,3.0,2,0.03
OAF-O-00216,1.5,0.5,-2.57,3.0,2,0.03
OAF-O-00213,2.0,0.5,-3.15,4.0,2,0.03
OAF-O-00214,2.0,0.5,-3.15,4.0,2,0.03
OAF-O-00218,1.5,0.5,-2.57,12.200000000000001,2,0.03
OAF-O-00086,1.5,3.0,-3.97,12.36,2,0.03
OAF-O-00091,1.5,0.9,-3.52,9.219999999999999,2,0.03
OAF-O-00092,1.5,1.5,-3.89,11.47,2,0.03
OAF-O-02387,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-02386,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-E-00466,2.4999999999999996,17.0,-1.54,47.0,2,0.03
